Latitude,Longitude,Bias
33.6308,-91.7493,-0.853278
30.7511,-92.6892,-3.93625
34.0999,-93.0636,-6.59968
34.3878,-89.5378,-1.06345
32.3085,-90.4099,-2.13599
34.3031,-90.5117,0.941003
31.6052,-90.4125,-4.31907
30.3649,-89.4573,-2.91483
32.5105,-92.5914,-5.75803
30.5244,-90.4164,-1.63972
31.7346,-93.1043,-2.96323
30.533,-91.1479,-0.964734
32.3375,-88.7445,1.48984
32.5509,-88.5682,0.903296
31.4623,-89.3354,-0.807043
32.3162,-90.0791,-1.89722
32.3349,-90.2177,-5.27009
31.6133,-91.2803,-2.559
31.1819,-90.4667,-5.05827
30.3413,-89.8226,-2.38266
31.048,-93.1798,-4.2218
32.518,-92.0352,-5.51784
31.3968,-92.2924,-2.97308
32.3536,-91.029,-5.43829
31.1516,-92.9617,-5.26455
31.1155,-92.9607,-4.29551
33.6499,-88.453,1.44587
33.4538,-88.5881,3.04745
34.2605,-88.7749,0.210028
34.2897,-93.0581,-1.4692
34.1708,-91.9306,-0.556195
33.2198,-92.8123,-2.80222
33.6398,-91.7602,-1.13551
33.6268,-92.7683,-2.67573
31.3389,-92.5551,-2.40573
30.4142,-89.0808,4.40389
33.4982,-90.0916,1.52744
31.2811,-89.254,-1.07786
33.4815,-90.9899,0.540271
30.4207,-88.9137,6.58965
30.4682,-88.5367,2.91916
30.3518,-88.571,1.29532
30.3512,-89.082,-1.98835
30.3328,-88.5193,-0.510901
34.2461,-89.8675,-0.592108
32.887,-92.1162,-2.30895
32.3335,-89.0755,3.30641
